PDM TABLE NAME,PDM COLUMN NAME,PDM COLUMN DATA TYPE,'IS PK (Yes/No)',Is NULLABLE (Yes/No),SOURCE SYSTEM NAME,SOURCE TABLE NAME,SOURCE COLUMN NAME,SOURCE DATA TYPE
BANK,Bank_Cd,CHAR(4),YES,No,GCFR,BMAP_Standard_Map,'Code_Set_Id / EDW_Code',CHAR(4)
BANK,Bank_Desc,VARCHAR(50),NO,Yes,GCFR,One time load,Description,VARCHAR(50)
BANK,Ctrl_Id,SMALLINT,NO,Yes,GCFR,BMAP_Standard_Map,Ctl_Id,SMALLINT
BANK,Proc_Nm,CHAR(30),NO,Yes,GCFR,BMAP_Standard_Map,Process_Name,CHAR(30)
BANK,Proc_Id,INTEGER,NO,Yes,GCFR,BMAP_Standard_Map,Process_ID,INTEGER
BANK,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,BMAP_Standard_Map,Update_Process_Name,CHAR(30)
BANK,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,BMAP_Standard_Map,Update_Process_Id,INTEGER
CUST_TYP,Cust_Typ_Cd,CHAR(3),YES,No,GCFR,BMAP_Standard_Map,'Code_Set_Id / EDW_Code',CHAR(4)
CUST_TYP,Cust_Typ_Desc,VARCHAR(50),NO,Yes,GCFR,One time load,Description,VARCHAR(50)
CUST_TYP,Ctrl_Id,SMALLINT,NO,Yes,GCFR,BMAP_Standard_Map,Ctl_Id,SMALLINT
CUST_TYP,Proc_Nm,CHAR(30),NO,Yes,GCFR,BMAP_Standard_Map,Process_Name,CHAR(30)
CUST_TYP,Proc_Id,INTEGER,NO,Yes,GCFR,BMAP_Standard_Map,Process_ID,INTEGER
CUST_TYP,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,BMAP_Standard_Map,Update_Process_Name,CHAR(30)
CUST_TYP,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,BMAP_Standard_Map,Update_Process_Id,INTEGER
CUST_MSTR,Cust_Sk,INTEGER,YES,No,GCFR,Bkey_Standard_Key,Key_Set_Id,INTEGER
CUST_MSTR,Cust_Id,CHAR(20),NO,No,CD,CD,CUSTNUM,STRING(20)
CUST_MSTR,Bank_Cd,CHAR(5),NO,No,CD,CD,BANKCD,CHAR(5)
CUST_MSTR,Cust_Nm,VARCHAR(100),NO,Yes,CD,CD,'NAME1, NAME2',STRING(50)
CUST_MSTR,Cust_Strt_Dttm,TIMESTAMP,NO,Yes,GCFR,Bkey_Standard_Key,Start_Date,DATE
CUST_MSTR,Cust_End_Dttm,TIMESTAMP,NO,Yes,GCFR,Bkey_Standard_Key,End_Date,DATE
CUST_MSTR,Cust_Typ_Cd,CHAR(3),NO,Yes,CD,CD,CUSTTYP,STRING(3)
CUST_MSTR,Src_Cd,CHAR(5),NO,Yes,CD,CD,RECTYPE,STRING(5)
CUST_MSTR,Cust_Stts,CHAR(3),NO,Yes,CD,CD,STATUSKD,STRING(2)
CUST_MSTR,Cust_Orgnm,VARCHAR(100),NO,Yes,CD,CD,NAME1,STRING(50)
CUST_MSTR,Est_Dt,CHAR(18),NO,Yes,GCFR,,-,
CUST_MSTR,Close_Dt,CHAR(18),NO,Yes,GCFR,,-,
CUST_MSTR,Orgnm_End_Dt,CHAR(18),NO,Yes,GCFR,Bkey_Standard_Key,End_Date,DATE
CUST_MSTR,Cust_Fullnm,VARCHAR(200),NO,Yes,CD,CD,NAME2,STRING(50)
